CustomerID	AccountNumber	CustomerType	JSON_ARRAYAGG(
254	AW00000254	S	[{"TotalDue": 45527.562, "OrderDate": "2003-03-01 00:00:00.000000", "SalesOrderID": 49464}, {"TotalDue": 42579.8886, "OrderDate": "2003-06-01 00:00:00.000000", "SalesOrderID": 50693}, {"TotalDue": 118284.7824, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53518}, {"TotalDue": 72807.8648, "OrderDate": "2002-09-01 00:00:00.000000", "SalesOrderID": 47403}, {"TotalDue": 58821.6764, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48347}, {"TotalDue": 90216.8523, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71836}, {"TotalDue": 62891.7763, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65200}, {"TotalDue": 103456.4136, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 58963}]
255	AW00000255	S	[{"TotalDue": 36748.6876, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63262}, {"TotalDue": 43388.7481, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57134}, {"TotalDue": 250.6771, "OrderDate": "2002-11-01 00:00:00.000000", "SalesOrderID": 48070}, {"TotalDue": 1735.6511, "OrderDate": "2003-02-01 00:00:00.000000", "SalesOrderID": 49155}, {"TotalDue": 34548.1247, "OrderDate": "2002-05-01 00:00:00.000000", "SalesOrderID": 46093}, {"TotalDue": 622.9468, "OrderDate": "2002-08-01 00:00:00.000000", "SalesOrderID": 47048}, {"TotalDue": 15105.0935, "OrderDate": "2001-08-01 00:00:00.000000", "SalesOrderID": 43904}, {"TotalDue": 37331.5358, "OrderDate": "2001-11-01 00:00:00.000000", "SalesOrderID": 44557}, {"TotalDue": 36965.4668, "OrderDate": "2002-02-01 00:00:00.000000", "SalesOrderID": 45332}, {"TotalDue": 49768.2141, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51836}, {"TotalDue": 269.8901, "OrderDate": "2003-05-01 00:00:00.000000", "SalesOrderID": 50309}, {"TotalDue": 46696.0551, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69515}]
256	AW00000256	S	[{"TotalDue": 429.616, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57169}, {"TotalDue": 5747.6942, "OrderDate": "2001-08-01 00:00:00.000000", "SalesOrderID": 43896}, {"TotalDue": 13065.0413, "OrderDate": "2001-11-01 00:00:00.000000", "SalesOrderID": 44545}, {"TotalDue": 18083.9116, "OrderDate": "2002-02-01 00:00:00.000000", "SalesOrderID": 45322}, {"TotalDue": 16382.3701, "OrderDate": "2002-05-01 00:00:00.000000", "SalesOrderID": 46083}, {"TotalDue": 64.6353, "OrderDate": "2002-08-01 00:00:00.000000", "SalesOrderID": 47029}]
257	AW00000257	S	[{"TotalDue": 91438.2858, "OrderDate": "2002-08-01 00:00:00.000000", "SalesOrderID": 47034}, {"TotalDue": 79476.0185, "OrderDate": "2002-11-01 00:00:00.000000", "SalesOrderID": 48056}, {"TotalDue": 30404.9252, "OrderDate": "2003-02-01 00:00:00.000000", "SalesOrderID": 49139}, {"TotalDue": 55436.5582, "OrderDate": "2003-05-01 00:00:00.000000", "SalesOrderID": 50298}, {"TotalDue": 59486.0374, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51842}, {"TotalDue": 36962.7394, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69527}, {"TotalDue": 41164.3702, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57157}, {"TotalDue": 28690.9911, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63263}]
258	AW00000258	S	[{"TotalDue": 47302.9675, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63155}, {"TotalDue": 53078.2506, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57042}, {"TotalDue": 44533.7854, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69417}, {"TotalDue": 51111.6554, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51722}, {"TotalDue": 62825.9005, "OrderDate": "2002-11-01 00:00:00.000000", "SalesOrderID": 47994}, {"TotalDue": 56473.8106, "OrderDate": "2003-02-01 00:00:00.000000", "SalesOrderID": 49086}, {"TotalDue": 67918.5086, "OrderDate": "2002-08-01 00:00:00.000000", "SalesOrderID": 46970}, {"TotalDue": 67430.4742, "OrderDate": "2003-05-01 00:00:00.000000", "SalesOrderID": 50214}]
259	AW00000259	S	[{"TotalDue": 6923.4822, "OrderDate": "2003-05-01 00:00:00.000000", "SalesOrderID": 50205}, {"TotalDue": 7738.2296, "OrderDate": "2002-11-01 00:00:00.000000", "SalesOrderID": 47984}, {"TotalDue": 8721.2558, "OrderDate": "2003-02-01 00:00:00.000000", "SalesOrderID": 49109}, {"TotalDue": 5183.0624, "OrderDate": "2001-08-01 00:00:00.000000", "SalesOrderID": 43859}, {"TotalDue": 6234.218, "OrderDate": "2001-11-01 00:00:00.000000", "SalesOrderID": 44500}, {"TotalDue": 5100.9663, "OrderDate": "2002-02-01 00:00:00.000000", "SalesOrderID": 45286}, {"TotalDue": 10242.5075, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51706}, {"TotalDue": 4597.9141, "OrderDate": "2002-05-01 00:00:00.000000", "SalesOrderID": 46041}, {"TotalDue": 13743.5164, "OrderDate": "2002-08-01 00:00:00.000000", "SalesOrderID": 46960}, {"TotalDue": 9173.5553, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69409}, {"TotalDue": 7359.6862, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57029}, {"TotalDue": 5986.1859, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63146}]
260	AW00000260	S	[{"TotalDue": 33118.4589, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63293}, {"TotalDue": 49887.6303, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57074}, {"TotalDue": 67281.393, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69451}, {"TotalDue": 65531.4077, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51760}]
262	AW00000262	S	[{"TotalDue": 217.5046, "OrderDate": "2003-06-01 00:00:00.000000", "SalesOrderID": 50700}, {"TotalDue": 3684.0609, "OrderDate": "2002-09-01 00:00:00.000000", "SalesOrderID": 47415}, {"TotalDue": 84.1936, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48355}, {"TotalDue": 4989.8566, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53600}, {"TotalDue": 804.1505, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 59037}, {"TotalDue": 214.3115, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65284}, {"TotalDue": 649.8303, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71921}]
263	AW00000263	S	[{"TotalDue": 58194.9662, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69540}, {"TotalDue": 94545.8176, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51850}, {"TotalDue": 53493.3754, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57154}, {"TotalDue": 59542.7083, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63177}]
264	AW00000264	S	[{"TotalDue": 24392.4841, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63140}, {"TotalDue": 37944.391, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69399}, {"TotalDue": 35517.0629, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57024}, {"TotalDue": 36860.4186, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51704}]
265	AW00000265	S	[{"TotalDue": 5667.0724, "OrderDate": "2003-04-01 00:00:00.000000", "SalesOrderID": 49834}, {"TotalDue": 9075.4173, "OrderDate": "2002-10-01 00:00:00.000000", "SalesOrderID": 47678}, {"TotalDue": 5081.7918, "OrderDate": "2003-01-01 00:00:00.000000", "SalesOrderID": 48774}, {"TotalDue": 17318.7129, "OrderDate": "2002-07-01 00:00:00.000000", "SalesOrderID": 46627}]
266	AW00000266	S	[{"TotalDue": 98405.0752, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51837}, {"TotalDue": 64243.0978, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69511}, {"TotalDue": 53402.8131, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57132}, {"TotalDue": 37755.3551, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63233}]
267	AW00000267	S	[{"TotalDue": 35877.0264, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 59067}, {"TotalDue": 38629.3847, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65241}, {"TotalDue": 43973.1238, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53565}, {"TotalDue": 39140.6696, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71945}]
268	AW00000268	S	[{"TotalDue": 608.1766, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71885}, {"TotalDue": 417.1088, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 59055}, {"TotalDue": 1473.3136, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53574}]
269	AW00000269	S	[{"TotalDue": 1668.6076, "OrderDate": "2001-07-01 00:00:00.000000", "SalesOrderID": 43687}, {"TotalDue": 9780.5474, "OrderDate": "2001-10-01 00:00:00.000000", "SalesOrderID": 44311}, {"TotalDue": 4127.6792, "OrderDate": "2002-01-01 00:00:00.000000", "SalesOrderID": 45067}, {"TotalDue": 4802.6649, "OrderDate": "2002-04-01 00:00:00.000000", "SalesOrderID": 45807}, {"TotalDue": 250.6771, "OrderDate": "2002-10-01 00:00:00.000000", "SalesOrderID": 47710}, {"TotalDue": 544.442, "OrderDate": "2003-01-01 00:00:00.000000", "SalesOrderID": 48781}, {"TotalDue": 692.852, "OrderDate": "2003-04-01 00:00:00.000000", "SalesOrderID": 49874}]
270	AW00000270	S	[{"TotalDue": 442.175, "OrderDate": "2003-05-01 00:00:00.000000", "SalesOrderID": 50278}, {"TotalDue": 9488.4616, "OrderDate": "2001-08-01 00:00:00.000000", "SalesOrderID": 43876}, {"TotalDue": 34720.7387, "OrderDate": "2001-11-01 00:00:00.000000", "SalesOrderID": 44522}, {"TotalDue": 29460.4006, "OrderDate": "2002-02-01 00:00:00.000000", "SalesOrderID": 45302}, {"TotalDue": 3677.1642, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51743}, {"TotalDue": 39073.2789, "OrderDate": "2002-05-01 00:00:00.000000", "SalesOrderID": 46059}, {"TotalDue": 275.7448, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57114}, {"TotalDue": 98.3448, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69438}]
271	AW00000271	S	[{"TotalDue": 3501.4074, "OrderDate": "2002-05-01 00:00:00.000000", "SalesOrderID": 46025}, {"TotalDue": 4000.9786, "OrderDate": "2001-11-01 00:00:00.000000", "SalesOrderID": 44483}, {"TotalDue": 4592.3356, "OrderDate": "2002-02-01 00:00:00.000000", "SalesOrderID": 45267}]
272	AW00000272	S	[{"TotalDue": 37323.8614, "OrderDate": "2001-09-01 00:00:00.000000", "SalesOrderID": 44078}, {"TotalDue": 56164.1459, "OrderDate": "2001-12-01 00:00:00.000000", "SalesOrderID": 44743}, {"TotalDue": 25603.027, "OrderDate": "2002-03-01 00:00:00.000000", "SalesOrderID": 45521}, {"TotalDue": 31894.0674, "OrderDate": "2002-06-01 00:00:00.000000", "SalesOrderID": 46327}, {"TotalDue": 54.5727, "OrderDate": "2003-03-01 00:00:00.000000", "SalesOrderID": 49449}, {"TotalDue": 63590.1309, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53457}, {"TotalDue": 3296.0428, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48294}, {"TotalDue": 39805.1214, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71785}, {"TotalDue": 48534.9053, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 58910}, {"TotalDue": 18022.232, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65159}]
273	AW00000273	S	[{"TotalDue": 5440.6815, "OrderDate": "2001-09-01 00:00:00.000000", "SalesOrderID": 44092}, {"TotalDue": 37725.5951, "OrderDate": "2001-12-01 00:00:00.000000", "SalesOrderID": 44755}, {"TotalDue": 28429.0105, "OrderDate": "2002-03-01 00:00:00.000000", "SalesOrderID": 45536}, {"TotalDue": 39156.3343, "OrderDate": "2002-06-01 00:00:00.000000", "SalesOrderID": 46343}]
274	AW00000274	S	[{"TotalDue": 40.151, "OrderDate": "2002-07-01 00:00:00.000000", "SalesOrderID": 46656}, {"TotalDue": 406.6937, "OrderDate": "2003-04-01 00:00:00.000000", "SalesOrderID": 49880}, {"TotalDue": 323.1694, "OrderDate": "2002-10-01 00:00:00.000000", "SalesOrderID": 47707}]
275	AW00000275	S	[{"TotalDue": 2619.2918, "OrderDate": "2003-10-01 00:00:00.000000", "SalesOrderID": 55298}, {"TotalDue": 10917.318, "OrderDate": "2003-07-01 00:00:00.000000", "SalesOrderID": 51139}, {"TotalDue": 817.9126, "OrderDate": "2004-01-01 00:00:00.000000", "SalesOrderID": 61268}]
276	AW00000276	S	[{"TotalDue": 1943.9293, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65193}, {"TotalDue": 3533.3009, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 58942}, {"TotalDue": 275.7448, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53491}, {"TotalDue": 1261.444, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71815}]
277	AW00000277	S	[{"TotalDue": 117.7276, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71923}, {"TotalDue": 2949.6434, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 59049}, {"TotalDue": 4142.4443, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65293}, {"TotalDue": 5117.1228, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53598}, {"TotalDue": 3737.681, "OrderDate": "2003-03-01 00:00:00.000000", "SalesOrderID": 49445}, {"TotalDue": 8098.309, "OrderDate": "2003-06-01 00:00:00.000000", "SalesOrderID": 50658}, {"TotalDue": 7635.7596, "OrderDate": "2002-09-01 00:00:00.000000", "SalesOrderID": 47350}, {"TotalDue": 7475.3621, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48286}]
278	AW00000278	S	[{"TotalDue": 163975.1393, "OrderDate": "2001-08-01 00:00:00.000000", "SalesOrderID": 43875}, {"TotalDue": 169579.4422, "OrderDate": "2001-11-01 00:00:00.000000", "SalesOrderID": 44518}, {"TotalDue": 119086.3877, "OrderDate": "2002-02-01 00:00:00.000000", "SalesOrderID": 45300}, {"TotalDue": 125600.7287, "OrderDate": "2002-05-01 00:00:00.000000", "SalesOrderID": 46056}]
279	AW00000279	S	[{"TotalDue": 10884.3193, "OrderDate": "2002-03-01 00:00:00.000000", "SalesOrderID": 45576}, {"TotalDue": 31972.7328, "OrderDate": "2002-06-01 00:00:00.000000", "SalesOrderID": 46384}, {"TotalDue": 24546.3993, "OrderDate": "2001-09-01 00:00:00.000000", "SalesOrderID": 44128}, {"TotalDue": 44324.643, "OrderDate": "2001-12-01 00:00:00.000000", "SalesOrderID": 44798}]
280	AW00000280	S	[{"TotalDue": 4218.3266, "OrderDate": "2002-11-01 00:00:00.000000", "SalesOrderID": 48030}, {"TotalDue": 1848.5531, "OrderDate": "2003-02-01 00:00:00.000000", "SalesOrderID": 49060}, {"TotalDue": 2245.5572, "OrderDate": "2003-05-01 00:00:00.000000", "SalesOrderID": 50239}, {"TotalDue": 24028.9957, "OrderDate": "2002-08-01 00:00:00.000000", "SalesOrderID": 47003}, {"TotalDue": 10713.4417, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51766}, {"TotalDue": 2630.1589, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69455}, {"TotalDue": 13563.2358, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57079}, {"TotalDue": 5678.7634, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63169}]
281	AW00000281	S	[{"TotalDue": 30620.0813, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65238}, {"TotalDue": 74951.8832, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 58958}, {"TotalDue": 55087.9955, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71830}, {"TotalDue": 76524.8579, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53513}]
282	AW00000282	S	[{"TotalDue": 36832.3019, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53477}, {"TotalDue": 32929.329, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 58925}, {"TotalDue": 32633.5908, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65218}, {"TotalDue": 37253.4402, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71800}]
283	AW00000283	S	[{"TotalDue": 12742.8546, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51724}, {"TotalDue": 15427.7205, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63153}, {"TotalDue": 9175.7764, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57043}, {"TotalDue": 16299.722, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69415}]
284	AW00000284	S	[{"TotalDue": 8215.746, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65202}, {"TotalDue": 17005.7252, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 58965}, {"TotalDue": 8437.3121, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71913}, {"TotalDue": 1818.2281, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53521}]
285	AW00000285	S	[{"TotalDue": 545.275, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53557}, {"TotalDue": 2462.6916, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 58947}, {"TotalDue": 1093.5347, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71875}]
286	AW00000286	S	[{"TotalDue": 6712.3029, "OrderDate": "2003-07-01 00:00:00.000000", "SalesOrderID": 51135}, {"TotalDue": 12381.1021, "OrderDate": "2002-10-01 00:00:00.000000", "SalesOrderID": 47669}, {"TotalDue": 5606.5216, "OrderDate": "2003-01-01 00:00:00.000000", "SalesOrderID": 48772}, {"TotalDue": 10730.815, "OrderDate": "2002-07-01 00:00:00.000000", "SalesOrderID": 46615}, {"TotalDue": 6995.0871, "OrderDate": "2003-10-01 00:00:00.000000", "SalesOrderID": 55288}, {"TotalDue": 5919.8811, "OrderDate": "2003-04-01 00:00:00.000000", "SalesOrderID": 49862}, {"TotalDue": 6240.2329, "OrderDate": "2004-01-01 00:00:00.000000", "SalesOrderID": 61214}, {"TotalDue": 5222.7616, "OrderDate": "2004-04-01 00:00:00.000000", "SalesOrderID": 67308}]
287	AW00000287	S	[{"TotalDue": 50.2703, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63226}, {"TotalDue": 809.1109, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69562}, {"TotalDue": 5370.284, "OrderDate": "2001-08-01 00:00:00.000000", "SalesOrderID": 43915}, {"TotalDue": 3073.1208, "OrderDate": "2001-11-01 00:00:00.000000", "SalesOrderID": 44568}, {"TotalDue": 3959.5759, "OrderDate": "2002-05-01 00:00:00.000000", "SalesOrderID": 46106}]
288	AW00000288	S	[{"TotalDue": 129.2707, "OrderDate": "2003-03-01 00:00:00.000000", "SalesOrderID": 49447}, {"TotalDue": 607.5999, "OrderDate": "2003-06-01 00:00:00.000000", "SalesOrderID": 50711}, {"TotalDue": 518.2579, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48288}]
289	AW00000289	S	[{"TotalDue": 15088.593, "OrderDate": "2002-11-01 00:00:00.000000", "SalesOrderID": 47998}, {"TotalDue": 6684.768, "OrderDate": "2003-02-01 00:00:00.000000", "SalesOrderID": 49112}, {"TotalDue": 32567.9765, "OrderDate": "2002-05-01 00:00:00.000000", "SalesOrderID": 46052}, {"TotalDue": 8266.2723, "OrderDate": "2002-08-01 00:00:00.000000", "SalesOrderID": 46973}, {"TotalDue": 4594.9473, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51723}, {"TotalDue": 5017.6917, "OrderDate": "2003-05-01 00:00:00.000000", "SalesOrderID": 50215}, {"TotalDue": 5403.8208, "OrderDate": "2001-08-01 00:00:00.000000", "SalesOrderID": 43866}, {"TotalDue": 13471.6989, "OrderDate": "2001-11-01 00:00:00.000000", "SalesOrderID": 44511}, {"TotalDue": 21607.8799, "OrderDate": "2002-02-01 00:00:00.000000", "SalesOrderID": 45295}, {"TotalDue": 4003.6803, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63158}, {"TotalDue": 2026.9753, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69420}, {"TotalDue": 7460.8442, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57109}]
290	AW00000290	S	[{"TotalDue": 53428.9044, "OrderDate": "2004-01-01 00:00:00.000000", "SalesOrderID": 61195}, {"TotalDue": 73201.2993, "OrderDate": "2004-04-01 00:00:00.000000", "SalesOrderID": 67294}, {"TotalDue": 149897.3647, "OrderDate": "2002-07-01 00:00:00.000000", "SalesOrderID": 46643}, {"TotalDue": 96748.8481, "OrderDate": "2002-10-01 00:00:00.000000", "SalesOrderID": 47694}, {"TotalDue": 49147.1136, "OrderDate": "2003-01-01 00:00:00.000000", "SalesOrderID": 48741}, {"TotalDue": 100621.9423, "OrderDate": "2003-04-01 00:00:00.000000", "SalesOrderID": 49844}, {"TotalDue": 125068.34, "OrderDate": "2003-07-01 00:00:00.000000", "SalesOrderID": 51123}, {"TotalDue": 65953.1312, "OrderDate": "2003-10-01 00:00:00.000000", "SalesOrderID": 55269}]
291	AW00000291	S	[{"TotalDue": 215.9137, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53517}, {"TotalDue": 3339.1306, "OrderDate": "2002-09-01 00:00:00.000000", "SalesOrderID": 47407}, {"TotalDue": 3260.525, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48346}, {"TotalDue": 3349.7494, "OrderDate": "2003-03-01 00:00:00.000000", "SalesOrderID": 49463}, {"TotalDue": 570.3621, "OrderDate": "2003-06-01 00:00:00.000000", "SalesOrderID": 50695}, {"TotalDue": 297.7164, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 58964}, {"TotalDue": 3691.568, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65291}, {"TotalDue": 3907.4818, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71924}]
292	AW00000292	S	[{"TotalDue": 4616.8072, "OrderDate": "2003-04-01 00:00:00.000000", "SalesOrderID": 49887}, {"TotalDue": 12757.3505, "OrderDate": "2003-10-01 00:00:00.000000", "SalesOrderID": 55310}, {"TotalDue": 1159.9768, "OrderDate": "2001-07-01 00:00:00.000000", "SalesOrderID": 43691}, {"TotalDue": 3437.9372, "OrderDate": "2001-10-01 00:00:00.000000", "SalesOrderID": 44315}, {"TotalDue": 2781.0126, "OrderDate": "2002-01-01 00:00:00.000000", "SalesOrderID": 45072}, {"TotalDue": 4579.2881, "OrderDate": "2002-04-01 00:00:00.000000", "SalesOrderID": 45811}, {"TotalDue": 12217.4851, "OrderDate": "2002-07-01 00:00:00.000000", "SalesOrderID": 46663}, {"TotalDue": 4954.4523, "OrderDate": "2002-10-01 00:00:00.000000", "SalesOrderID": 47715}, {"TotalDue": 5606.5216, "OrderDate": "2003-01-01 00:00:00.000000", "SalesOrderID": 48787}, {"TotalDue": 9141.7685, "OrderDate": "2003-07-01 00:00:00.000000", "SalesOrderID": 51144}, {"TotalDue": 7739.9621, "OrderDate": "2004-04-01 00:00:00.000000", "SalesOrderID": 67318}, {"TotalDue": 4294.9449, "OrderDate": "2004-01-01 00:00:00.000000", "SalesOrderID": 61247}]
293	AW00000293	S	[{"TotalDue": 6890.794, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65258}, {"TotalDue": 20654.607, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 58940}, {"TotalDue": 35146.0424, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71812}, {"TotalDue": 108906.8827, "OrderDate": "2001-09-01 00:00:00.000000", "SalesOrderID": 44100}, {"TotalDue": 123265.0706, "OrderDate": "2001-12-01 00:00:00.000000", "SalesOrderID": 44762}, {"TotalDue": 4571.905, "OrderDate": "2003-03-01 00:00:00.000000", "SalesOrderID": 49503}, {"TotalDue": 22590.5125, "OrderDate": "2003-06-01 00:00:00.000000", "SalesOrderID": 50678}, {"TotalDue": 53524.0705, "OrderDate": "2002-09-01 00:00:00.000000", "SalesOrderID": 47387}, {"TotalDue": 40048.1955, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48328}, {"TotalDue": 74793.0066, "OrderDate": "2002-03-01 00:00:00.000000", "SalesOrderID": 45542}, {"TotalDue": 60376.6496, "OrderDate": "2002-06-01 00:00:00.000000", "SalesOrderID": 46348}, {"TotalDue": 31504.0644, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53493}]
295	AW00000295	S	[{"TotalDue": 5978.13, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53496}, {"TotalDue": 6032.0843, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 58937}, {"TotalDue": 15085.5069, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65244}, {"TotalDue": 3754.9733, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71816}]
296	AW00000296	S	[{"TotalDue": 5520.927, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51852}, {"TotalDue": 285.1811, "OrderDate": "2002-08-01 00:00:00.000000", "SalesOrderID": 47010}, {"TotalDue": 859.24, "OrderDate": "2003-05-01 00:00:00.000000", "SalesOrderID": 50288}, {"TotalDue": 10817.8272, "OrderDate": "2003-02-01 00:00:00.000000", "SalesOrderID": 49064}, {"TotalDue": 5763.4519, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63270}, {"TotalDue": 3840.0872, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57081}, {"TotalDue": 99.3424, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69459}]
